Depth,accession,environment,fraction,group,sample_group,size
50.0,ERR594415,marine,VIRUS,SAO,TARA_068,40938660.0
30.0,ERR594414,marine,VIRUS,IO,TARA_065,28140396.0
5.0,ERR594411,marine,VIRUS,SAO,TARA_078,38151334.0
5.0,ERR594410,marine,VIRUS,RS,TARA_031,36430030.0
80.0,ERR594413,marine,VIRUS,IO,TARA_042,60004302.0
5.0,ERR594412,marine,VIRUS,SPO,TARA_109,45818926.0
5.0,ERR599009,marine,BACT,SAO,TARA_082,82951389.0
790.0,ERR599008,marine,BACT,SO,TARA_085,165789358.0
55.0,ERR594329,marine,GIRUS,MS,TARA_009,178517957.0
5.0,ERR594328,marine,GIRUS,RS,TARA_034,104201672.0
800.0,ERR599005,marine,BACT,SAO,TARA_072,99201488.0
5.0,ERR594326,marine,GIRUS,SPO,TARA_123,187470886.0
40.0,ERR599007,marine,BACT,SPO,TARA_102,132726859.0
65.0,ERR594324,marine,GIRUS,IO,TARA_064,62694109.0
5.0,ERR594323,marine,GIRUS,SPO,TARA_125,174100100.0
800.0,ERR599000,marine,BACT,SAO,TARA_076,194617234.0
150.0,ERR594321,marine,GIRUS,SAO,TARA_076,167500629.0
5.0,ERR594320,marine,GIRUS,IO,TARA_065,88258112.0
5.0,ERR599162,marine,BACT,NPO,TARA_140,185167291.0
5.0,ERR599163,marine,BACT,SPO,TARA_100,117555141.0
5.0,ERR599160,marine,BACT,SPO,TARA_123,171142153.0
120.0,ERR599161,marine,BACT,SPO,TARA_124,45834609.0
590.0,ERR599166,marine,BACT,NAO,TARA_145,177112313.0
340.0,ERR599167,marine,BACT,IO,TARA_038,91191543.0
1000.0,ERR599164,marine,BACT,IO,TARA_064,77554069.0
5.0,ERR599165,marine,BACT,SAO,TARA_070,88675089.0
40.0,ERR599168,marine,BACT,SPO,TARA_102,48143741.0
5.0,ERR599169,marine,BACT,SPO,TARA_100,44682390.0
5.0,ERR315861,marine,BACT,MS,TARA_023,37310366.0
55.0,ERR315860,marine,BACT,MS,TARA_023,36515588.0
5.0,ERR315863,marine,BACT,MS,TARA_030,81462943.0
5.0,ERR315862,marine,BACT,MS,TARA_030,157929848.0
5.0,ERR594392,marine,VIRUS,IO,TARA_064,48271080.0
5.0,ERR594393,marine,VIRUS,RS,TARA_032,50756575.0
60.0,ERR594390,marine,VIRUS,RS,TARA_034,40848755.0
5.0,ERR594391,marine,VIRUS,SAO,TARA_068,44816720.0
5.0,ERR594396,marine,VIRUS,MS,TARA_025,52114733.0
25.0,ERR594397,marine,VIRUS,IO,TARA_039,22849313.0
75.0,ERR594394,marine,VIRUS,IO,TARA_052,46496880.0
5.0,ERR594395,marine,VIRUS,SAO,TARA_067,21885013.0
5.0,ERR594398,marine,VIRUS,IO,TARA_042,26482646.0
25.0,ERR594399,marine,VIRUS,IO,TARA_038,23707953.0
600.0,ERR599096,marine,BACT,SPO,TARA_122,49291121.0
80.0,ERR599097,marine,BACT,RS,TARA_032,167058316.0
50.0,ERR599094,marine,BACT,MS,TARA_025,164146857.0
40.0,ERR599095,marine,BACT,NAO,TARA_004,207091837.0
60.0,ERR599092,marine,BACT,MS,TARA_018,169336043.0
5.0,ERR599093,marine,BACT,SPO,TARA_098,82380100.0
5.0,ERR599090,marine,BACT,SO,TARA_085,163038595.0
5.0,ERR599091,marine,BACT,SPO,TARA_125,40691545.0
5.0,ERR599098,marine,BACT,IO,TARA_052,29188354.0
40.0,ERR599099,marine,BACT,NPO,TARA_137,48399126.0
600.0,ERR594345,marine,GIRUS,IO,TARA_037,188517258.0
5.0,ERR598989,marine,BACT,NPO,TARA_137,185571189.0
120.0,ERR598988,marine,BACT,SPO,TARA_124,46703465.0
40.0,ERR598987,marine,BACT,NPO,TARA_137,47664457.0
80.0,ERR598986,marine,BACT,NAO,TARA_151,184769144.0
640.0,ERR598985,marine,BACT,NAO,TARA_142,164118504.0
5.0,ERR598984,marine,BACT,SAO,TARA_072,175664334.0
5.0,ERR598983,marine,BACT,NAO,TARA_145,176015464.0
30.0,ERR598982,marine,BACT,SAO,TARA_066,37527741.0
177.0,ERR598981,marine,BACT,SPO,TARA_100,22326138.0
550.0,ERR598980,marine,BACT,NPO,TARA_132,203947262.0
480.0,ERR599128,marine,BACT,SPO,TARA_102,47344092.0
5.0,ERR599129,marine,BACT,SAO,TARA_068,36058089.0
5.0,ERR599126,marine,BACT,SAO,TARA_076,200803577.0
375.0,ERR599127,marine,BACT,NPO,TARA_137,50405180.0
800.0,ERR599124,marine,BACT,SAO,TARA_078,30298285.0
790.0,ERR599125,marine,BACT,SO,TARA_085,38042263.0
40.0,ERR599122,marine,BACT,SAO,TARA_082,186132002.0
5.0,ERR599123,marine,BACT,NAO,TARA_148,173119198.0
5.0,ERR599120,marine,BACT,SPO,TARA_098,44191270.0
90.0,ERR599121,marine,BACT,SO,TARA_085,186420792.0
5.0,ERR594297,marine,GIRUS,SAO,TARA_068,178203533.0
5.0,ERR594296,marine,GIRUS,SPO,TARA_124,172793806.0
5.0,ERR594295,marine,GIRUS,IO,TARA_041,28232803.0
50.0,ERR594294,marine,GIRUS,SAO,TARA_068,171155104.0
150.0,ERR594293,marine,GIRUS,SPO,TARA_123,95420603.0
5.0,ERR594292,marine,GIRUS,SPO,TARA_122,82811132.0
30.0,ERR594291,marine,GIRUS,IO,TARA_065,93685458.0
600.0,ERR594290,marine,GIRUS,IO,TARA_037,77851600.0
800.0,ERR594299,marine,GIRUS,SAO,TARA_070,80001776.0
150.0,ERR594298,marine,GIRUS,SAO,TARA_076,164650714.0
5.0,ERR599052,marine,BACT,NPO,TARA_133,269556882.0
60.0,ERR599053,marine,BACT,IO,TARA_041,193639324.0
5.0,ERR599050,marine,BACT,SPO,TARA_094,230009431.0
450.0,ERR599051,marine,BACT,NPO,TARA_138,43410937.0
50.0,ERR599056,marine,BACT,SAO,TARA_068,32450140.0
5.0,ERR599057,marine,BACT,IO,TARA_056,162387844.0
5.0,ERR599054,marine,BACT,IO,TARA_045,162120962.0
480.0,ERR599055,marine,BACT,SPO,TARA_102,23444203.0
5.0,ERR599058,marine,BACT,IO,TARA_057,168192870.0
5.0,ERR599059,marine,BACT,SO,TARA_084,187525521.0
5.0,ERR594327,marine,GIRUS,IO,TARA_039,24982304.0
5.0,ERR594369,marine,VIRUS,IO,TARA_036,37151587.0
5.0,ERR594368,marine,VIRUS,RS,TARA_034,29023535.0
450.0,ERR599004,marine,BACT,NPO,TARA_138,42908792.0
25.0,ERR594363,marine,VIRUS,IO,TARA_039,22566800.0
5.0,ERR594362,marine,VIRUS,SAO,TARA_066,43948626.0
5.0,ERR594361,marine,VIRUS,IO,TARA_065,29633220.0
80.0,ERR594360,marine,VIRUS,RS,TARA_032,64643745.0
60.0,ERR594367,marine,VIRUS,IO,TARA_041,30745099.0
5.0,ERR594325,marine,GIRUS,SAO,TARA_067,174320759.0
5.0,ERR594365,marine,VIRUS,IO,TARA_039,28789851.0
5.0,ERR594364,marine,VIRUS,SAO,TARA_072,39987130.0
5.0,ERR599006,marine,BACT,SAO,TARA_078,206080531.0
5.0,ERR599001,marine,BACT,NAO,TARA_152,194231437.0
600.0,ERR594322,marine,GIRUS,SPO,TARA_122,155930208.0
5.0,ERR599003,marine,BACT,NAO,TARA_004,28822442.0
115.0,ERR599377,marine,VIRUS,SPO,TARA_122,47290818.0
5.0,ERR599376,marine,VIRUS,IO,TARA_056,56401139.0
177.0,ERR599375,marine,VIRUS,SPO,TARA_100,41960132.0
75.0,ERR599002,marine,BACT,IO,TARA_052,159178051.0
1000.0,ERR599371,marine,VIRUS,IO,TARA_056,51960724.0
850.0,ERR599034,marine,BACT,IO,TARA_065,29284233.0
5.0,ERR599035,marine,BACT,SAO,TARA_082,51495893.0
5.0,ERR599036,marine,BACT,SPO,TARA_124,45847605.0
150.0,ERR594355,marine,VIRUS,SAO,TARA_076,58870148.0
5.0,ERR599030,marine,BACT,NPO,TARA_138,171139183.0
5.0,ERR594353,marine,VIRUS,SAO,TARA_070,47220407.0
5.0,ERR598978,marine,BACT,SPO,TARA_102,132611913.0
5.0,ERR598979,marine,BACT,IO,TARA_065,47194699.0
5.0,ERR598976,marine,BACT,NAO,TARA_151,198143365.0
60.0,ERR598977,marine,BACT,IO,TARA_041,38060321.0
17.0,ERR598974,marine,BACT,IO,TARA_036,32688174.0
60.0,ERR598975,marine,BACT,RS,TARA_034,37677371.0
65.0,ERR598972,marine,BACT,IO,TARA_064,40411436.0
5.0,ERR598973,marine,BACT,SAO,TARA_066,36385625.0
5.0,ERR598970,marine,BACT,IO,TARA_064,42483957.0
380.0,ERR598971,marine,BACT,SPO,TARA_109,162234931.0
5.0,ERR634968,marine,VIRUS,SPO,TARA_123,38356376.0
700.0,ERR599131,marine,BACT,SAO,TARA_068,29092053.0
80.0,ERR599130,marine,BACT,IO,TARA_042,182963807.0
5.0,ERR594358,marine,VIRUS,MS,TARA_018,47508906.0
480.0,ERR599132,marine,BACT,SPO,TARA_102,128719360.0
60.0,ERR594366,marine,VIRUS,IO,TARA_041,14670146.0
5.0,ERR594406,marine,VIRUS,MS,TARA_022,28580118.0
800.0,ERR594407,marine,VIRUS,SAO,TARA_070,41257033.0
5.0,ERR594404,marine,VIRUS,SAO,TARA_067,22087021.0
70.0,ERR594405,marine,VIRUS,MS,TARA_030,39094357.0
17.0,ERR594402,marine,VIRUS,IO,TARA_036,38625900.0
5.0,ERR594403,marine,VIRUS,IO,TARA_042,23073592.0
5.0,ERR594400,marine,VIRUS,IO,TARA_038,28328329.0
5.0,ERR594401,marine,VIRUS,RS,TARA_031,30533216.0
55.0,ERR594408,marine,VIRUS,MS,TARA_023,41387025.0
40.0,ERR594409,marine,VIRUS,SAO,TARA_082,41877228.0
5.0,ERR594330,marine,GIRUS,IO,TARA_038,35266822.0
800.0,ERR594331,marine,GIRUS,SAO,TARA_070,199717657.0
5.0,ERR594332,marine,GIRUS,SAO,TARA_078,143741285.0
800.0,ERR594333,marine,GIRUS,SAO,TARA_076,195634647.0
5.0,ERR594334,marine,GIRUS,IO,TARA_036,23962301.0
5.0,ERR594335,marine,GIRUS,SAO,TARA_070,178378254.0
120.0,ERR594336,marine,GIRUS,SAO,TARA_078,202866295.0
150.0,ERR594337,marine,GIRUS,SPO,TARA_123,168950666.0
75.0,ERR599016,marine,BACT,IO,TARA_052,35295532.0
5.0,ERR594339,marine,GIRUS,SPO,TARA_125,190451809.0
50.0,ERR599014,marine,BACT,SPO,TARA_110,211750391.0
375.0,ERR599015,marine,BACT,NPO,TARA_137,50273149.0
5.0,ERR599012,marine,BACT,IO,TARA_062,145714747.0
80.0,ERR599013,marine,BACT,IO,TARA_042,32056090.0
5.0,ERR599010,marine,BACT,SAO,TARA_076,30059067.0
5.0,ERR599011,marine,BACT,IO,TARA_041,33118603.0
150.0,ERR599157,marine,BACT,SPO,TARA_123,45492924.0
140.0,ERR599156,marine,BACT,SPO,TARA_125,185401512.0
5.0,ERR599155,marine,BACT,RS,TARA_032,22345279.0
800.0,ERR599154,marine,BACT,SAO,TARA_076,29607890.0
50.0,ERR599153,marine,BACT,MS,TARA_025,29167051.0
375.0,ERR599152,marine,BACT,NPO,TARA_137,50396310.0
5.0,ERR599151,marine,BACT,SPO,TARA_124,45616413.0
5.0,ERR599150,marine,BACT,IO,TARA_064,230323899.0
800.0,ERR599159,marine,BACT,SAO,TARA_078,211860640.0
5.0,ERR599158,marine,BACT,IO,TARA_038,39699921.0
5.0,ERR599339,marine,VIRUS,IO,TARA_062,60595610.0
5.0,ERR599337,marine,VIRUS,SPO,TARA_125,55799433.0
5.0,ERR599384,marine,VIRUS,SAO,TARA_082,46121402.0
5.0,ERR599380,marine,VIRUS,SPO,TARA_122,60018768.0
70.0,ERR318620,marine,BACT,MS,TARA_030,79459583.0
70.0,ERR318621,marine,BACT,MS,TARA_030,7841374.0
70.0,ERR318619,marine,BACT,MS,TARA_030,7753939.0
70.0,ERR318618,marine,BACT,MS,TARA_030,78363621.0
30.0,ERR598990,marine,BACT,IO,TARA_065,56663585.0
5.0,ERR598991,marine,BACT,RS,TARA_034,81065985.0
5.0,ERR598992,marine,BACT,SPO,TARA_122,139190159.0
5.0,ERR598993,marine,BACT,MS,TARA_018,179380493.0
5.0,ERR598994,marine,BACT,SAO,TARA_067,39041527.0
115.0,ERR598995,marine,BACT,NPO,TARA_132,261310241.0
40.0,ERR598996,marine,BACT,NAO,TARA_150,182027367.0
5.0,ERR598997,marine,BACT,SPO,TARA_109,26789701.0
150.0,ERR598998,marine,BACT,SPO,TARA_123,45900975.0
600.0,ERR598999,marine,BACT,SPO,TARA_122,49556018.0
50.0,ERR599113,marine,BACT,SPO,TARA_100,25877702.0
1000.0,ERR599112,marine,BACT,IO,TARA_056,217469381.0
60.0,ERR599111,marine,BACT,RS,TARA_034,187030708.0
30.0,ERR599110,marine,BACT,IO,TARA_065,135439143.0
150.0,ERR599117,marine,BACT,SPO,TARA_123,45647490.0
5.0,ERR599116,marine,BACT,RS,TARA_032,127806508.0
