accession,reads_aln,unique_aln,non_unique_aln,amb,non_rh,type_1,helio,1_1,1_2,1_3,1_4,helio_1,helio_2,helio_3,helio_4,helio_5,helio_6
ERR1474560,661,661,661,0,1,114,546,114,0,0,0,0,0,0,24,0,522
ERR1474561,365,365,365,0,0,146,219,146,0,0,0,0,1,0,10,1,207
ERR1474559,323,323,323,0,0,91,232,89,0,2,0,0,0,0,7,0,225
ERR1474558,1906,1906,1906,0,8,435,1463,435,0,0,0,0,0,0,63,1,1399
ERR1474562,609,609,609,0,0,324,285,323,1,0,0,0,0,0,19,0,266
ERR1474563,675,675,675,0,0,289,386,289,0,0,0,0,1,0,22,0,363
ERR599339,8,8,8,0,0,6,2,6,0,0,0,0,0,0,0,0,2
ERR594400,8,8,8,0,0,8,0,8,0,0,0,0,0,0,0,0,0
ERR594284,419,419,419,0,0,207,212,206,0,1,0,0,0,0,0,211,1
ERR315858,6309,6309,6309,0,0,5908,401,5906,0,0,2,1,1,0,1,378,20
ERR599031,11,11,11,0,0,8,3,8,0,0,0,0,0,0,0,3,0
ERR599101,7928,7928,7928,0,0,5965,1963,5955,0,5,5,16,57,0,0,1657,233
ERR599369,7,7,7,0,0,6,1,6,0,0,0,0,0,0,0,0,1
ERR315856,8216,8216,8216,0,1,6442,1773,6442,0,0,0,1,0,0,0,1631,141
ERR599103,1591,1591,1591,0,0,1399,192,1398,1,0,0,13,0,0,0,153,26
ERR598987,153,153,153,0,0,147,6,147,0,0,0,0,0,0,0,6,0
ERR599058,9219,9219,9219,0,0,5338,3881,5338,0,0,0,42,37,0,10,3507,285
ERR598958,1937,1937,1937,0,1,1543,393,1539,0,4,0,2,1,0,0,368,22
ERR594407,8,8,8,0,0,5,3,5,0,0,0,0,0,0,0,0,3
ERR688352,2337,2337,2337,0,106,214,2017,213,0,1,0,5,0,1,464,956,591
ERR594323,803,803,803,0,0,695,108,691,0,4,0,0,0,0,0,106,2
ERR598962,1548,1548,1548,0,0,931,617,931,0,0,0,6,0,0,0,595,16
ERR599380,3,3,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0
ERR599345,10,10,10,0,0,0,10,0,0,0,0,0,0,0,0,9,1
ERR599000,197,197,197,0,4,186,7,176,0,10,0,0,0,0,0,4,3
ERR598988,2742,2742,2742,0,0,1888,854,1888,0,0,0,0,1,0,0,709,144
ERR599033,587,587,587,0,0,477,110,477,0,0,0,0,2,0,0,102,6
ERR599364,218,218,218,0,0,212,6,212,0,0,0,0,0,0,0,0,6
ERR598979,2847,2847,2847,0,1,1874,972,1874,0,0,0,17,1,0,10,872,72
ERR598950,2239,2239,2239,0,0,1534,705,1533,0,0,1,3,18,0,0,634,50
ERR599053,10645,10645,10645,0,0,5808,4837,5805,0,0,3,4,56,0,79,4126,572
ERR594332,4823,4823,4823,0,1,4278,544,4276,0,1,1,5,1,0,1,455,82
ERR594391,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ERR598998,1032,1032,1032,0,0,745,287,744,0,1,0,0,2,0,0,278,7
ERR599005,2166,2166,2166,0,0,1579,587,1575,0,4,0,2,1,0,0,554,30
SRR1522971,899,899,899,0,10,104,785,104,0,0,0,0,0,0,1,8,776
ERR594375,14,14,14,0,0,14,0,14,0,0,0,0,0,0,0,0,0
ERR599154,33,33,33,0,0,33,0,29,0,4,0,0,0,0,0,0,0
ERR594347,8962,8962,8962,0,1,6518,2442,6517,0,0,1,1,1,0,0,1395,1045
ERR594385,2,2,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0
ERR599168,8068,8068,8068,0,1,6638,1429,6631,0,0,7,61,1,0,1,1326,40
ERR599137,2501,2501,2501,0,0,1641,860,1640,0,0,1,0,2,0,0,806,52
ERR594382,4,4,4,0,0,2,2,2,0,0,0,0,0,0,0,1,1
ERR599085,39,39,39,0,1,36,2,36,0,0,0,0,0,0,0,2,0
ERR594305,2462,2462,2462,0,0,1859,603,1858,0,1,0,0,7,0,0,576,20
ERR599084,2791,2791,2791,0,0,1920,871,1919,0,0,1,0,0,0,0,744,127
SRR1515032,445,445,445,0,0,260,185,260,0,0,0,0,0,0,29,0,156
ERR599140,1936,1936,1936,0,0,1348,588,1348,0,0,0,0,0,0,0,538,50
ERR599384,15,15,15,0,1,13,1,13,0,0,0,0,0,0,0,0,1
ERR599153,1417,1417,1417,0,0,1087,330,1085,0,0,2,1,1,0,0,310,18
ERR599169,3241,3241,3241,0,0,2573,668,2573,0,0,0,0,1,0,0,667,0
ERR688355,2245,2245,2245,0,85,43,2118,43,0,0,0,0,0,3,424,1066,625
ERR594377,17,17,17,0,0,16,1,16,0,0,0,0,0,0,0,0,1
ERR599094,7920,7920,7920,0,0,5994,1926,5992,0,0,2,3,2,0,0,1802,119
ERR598947,517,517,517,0,6,491,20,487,0,4,0,0,0,0,0,18,2
ERR599123,10112,10112,10112,0,0,7458,2654,7451,2,1,4,32,47,0,1,2168,406
ERR594329,12912,12912,12912,0,2,8295,4615,8295,0,0,0,11,164,0,0,4151,289
ERR598978,10479,10479,10479,0,1,7550,2928,7545,0,0,5,0,2,0,0,2907,19
ERR594319,152,152,152,0,0,102,50,101,0,1,0,1,0,0,0,43,6
ERR599046,1054,1054,1054,0,0,785,269,783,0,1,1,1,13,0,0,225,30
ERR594322,1371,1371,1371,0,0,1317,54,1315,0,2,0,0,2,0,0,44,8
ERR599159,1106,1106,1106,0,6,890,210,877,0,13,0,0,0,0,0,201,9
ERR594394,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ERR598996,11707,11707,11707,0,0,7953,3754,7943,2,0,8,27,3,0,0,3354,370
ERR599017,2023,2023,2023,0,0,1705,318,1705,0,0,0,24,0,0,0,269,25
ERR599048,1005,1005,1005,0,0,754,251,750,0,3,1,0,3,0,0,236,12
ERR594384,20,20,20,0,0,13,7,13,0,0,0,0,0,0,0,0,7
ERR594369,16,16,16,0,0,16,0,16,0,0,0,0,0,0,0,0,0
ERR594300,4288,4288,4288,0,0,3551,737,3550,0,0,1,2,1,0,0,612,122
ERR599076,57,57,57,0,0,51,6,51,0,0,0,0,0,0,0,6,0
ERR599126,4810,4810,4810,0,1,4054,755,4050,0,0,4,11,12,0,0,709,23
ERR598992,10002,10002,10002,0,0,7400,2602,7400,0,0,0,1,19,0,0,2553,29
ERR688353,2205,2205,2205,0,114,117,1978,117,0,0,0,1,1,6,509,878,583
ERR594290,40,40,40,0,0,24,16,24,0,0,0,0,0,0,0,15,1
ERR594355,28,28,28,0,0,23,5,23,0,0,0,0,0,0,0,1,4
ERR599072,370,370,370,0,0,290,80,284,0,6,0,0,0,0,0,75,5
ERR598999,574,574,574,0,0,480,94,477,0,3,0,0,2,0,0,85,7
ERR318618,7923,7923,7923,0,0,6088,1835,6085,0,1,2,0,1,0,0,1830,4
ERR594325,9171,9171,9171,0,0,7267,1904,7246,0,0,21,13,1,0,1,1854,35
ERR688341,785,785,785,0,33,43,710,43,0,0,0,0,0,0,81,470,159
ERR598963,9498,9498,9498,0,0,6739,2759,6726,7,2,4,65,10,0,2,2405,277
ERR599375,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ERR599007,8899,8899,8899,0,1,5282,3616,5280,0,0,2,46,0,0,2,3461,107
ERR594320,300,300,300,0,0,171,129,169,0,0,2,0,3,0,13,110,3
ERR688342,2148,2148,2148,0,94,50,2004,50,0,0,0,1,1,0,425,972,605
ERR315861,6324,6324,6324,0,0,5935,389,5935,0,0,0,1,0,0,0,362,26
ERR599173,4593,4593,4593,0,1,3444,1148,3443,0,0,1,4,0,0,0,1092,52
ERR594349,18872,18872,18872,0,5,13264,5604,13263,0,0,1,1,53,0,0,4977,573
ERR599109,35,35,35,0,0,35,0,35,0,0,0,0,0,0,0,0,0
ERR599083,569,569,569,0,0,463,106,462,0,1,0,0,0,0,0,99,7
ERR594316,1414,1414,1414,0,0,1165,249,1165,0,0,0,0,0,0,0,247,2
ERR599026,10754,10754,10754,0,1,6356,4397,6354,2,0,0,13,4,0,1,4084,295
ERR594412,3,3,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0
ERR594354,90,90,90,0,4,83,4,82,0,1,0,0,0,0,0,0,4
ERR594410,24,24,24,0,0,9,15,9,0,0,0,0,0,0,0,13,2
ERR599163,8491,8491,8491,0,0,6893,1598,6892,0,0,1,0,5,0,0,1592,1
ERR599080,3296,3296,3296,0,0,2320,976,2320,0,0,0,0,2,0,0,903,71
